2022-10-06 07:59:15.18, 31, 0->1, 1.18, car
2022-10-06 07:59:17.35, 31, 2->0, 3.02, car
2022-10-06 07:59:17.65, 31, 2->1, 3.77, car
2022-10-06 07:59:20.98, 31, 2->0, 3.94, car
2022-10-06 07:59:23.18, 31, 2->0, 3.6, car
2022-10-06 07:59:23.45, 31, 2->1, 3.78, car
2022-10-06 07:59:25.48, 31, 2->0, 3.84, car
2022-10-06 07:59:27.98, 31, 2->0, 4.74, car
2022-10-06 07:59:28.68, 31, 2->0, 5.57, car
2022-10-06 07:59:32.48, 31, 0->1, 1.76, car
2022-10-06 08:00:39.05, 31, 2->0, 1.79, bus_m
2022-10-06 08:00:45.11, 31, 2->0, 2.82, car
2022-10-06 08:00:54.31, 31, 2->0, 3.98, car
2022-10-06 08:00:56.94, 31, 2->0, 3.28, car
2022-10-06 08:01:00.07, 31, 2->0, 3.89, truck_s
2022-10-06 08:01:02.44, 31, 0->2, 2.87, car
2022-10-06 08:01:20.27, 31, 2->0, 4.43, car
2022-10-06 08:01:46.17, 31, 2->1, 2.71, car
2022-10-06 08:02:24.87, 31, 2->0, 3.98, car
2022-10-06 08:02:27.17, 31, 2->0, 4.12, car
2022-10-06 08:02:29.44, 31, 2->0, 4.78, car
2022-10-06 08:02:32.57, 31, 2->0, 4.53, car
2022-10-06 08:02:35.00, 31, 2->0, 4.13, car
2022-10-06 08:02:37.00, 31, 2->0, 4.15, car
2022-10-06 08:02:39.90, 31, 2->0, 3.65, car
2022-10-06 08:02:41.47, 31, 2->0, 4.67, car
2022-10-06 08:02:44.50, 31, 2->0, 4.86, car
2022-10-06 08:02:47.17, 31, 2->0, 5.27, car
2022-10-06 08:02:49.07, 31, 2->0, 3.64, car
2022-10-06 08:02:50.57, 31, 2->0, 5.08, car
2022-10-06 08:02:55.27, 31, 2->1, 2.04, car
2022-10-06 08:02:57.47, 31, 0->1, 1.08, car
2022-10-06 08:03:30.54, 31, 1->0, 1.44, car
2022-10-06 08:03:51.30, 31, 2->0, 4.63, car
2022-10-06 08:03:56.36, 31, 2->0, 2.88, car
2022-10-06 08:04:14.13, 31, 2->0, 1.79, car
2022-10-06 08:04:16.03, 31, 2->0, 4.08, car
2022-10-06 08:04:22.40, 31, 2->0, 3.86, car
2022-10-06 08:04:24.30, 31, 2->0, 4.69, car
2022-10-06 08:04:28.13, 31, 2->0, 3.83, car
2022-10-06 08:04:30.70, 31, 2->0, 4.31, bus_m
2022-10-06 08:04:40.53, 31, 2->0, 3.0, bus_m
2022-10-06 08:04:57.99, 31, 2->0, 2.32, car
2022-10-06 08:05:35.12, 31, 2->0, 1.01, car
2022-10-06 08:05:38.69, 31, 2->0, 2.27, car
2022-10-06 08:05:41.39, 31, 2->0, 3.67, truck_s
2022-10-06 08:05:43.19, 31, 2->0, 3.44, car
2022-10-06 08:05:44.06, 31, 2->1, 2.91, bus_m
2022-10-06 08:05:44.52, 31, 2->0, 3.64, car
2022-10-06 08:05:46.29, 31, 2->1, 2.83, car
2022-10-06 08:05:48.42, 31, 2->0, 5.69, car
2022-10-06 08:05:49.92, 31, 2->1, 2.98, car
2022-10-06 08:05:51.02, 31, 2->1, 3.72, car
2022-10-06 08:05:52.66, 31, 2->1, 3.34, car
2022-10-06 08:05:54.92, 31, 2->1, 2.49, car
2022-10-06 08:06:02.12, 31, 2->1, 3.46, car
2022-10-06 08:06:03.66, 31, 2->1, 4.08, car
2022-10-06 08:06:05.96, 31, 2->0, 3.77, car
2022-10-06 08:06:06.32, 31, 2->1, 3.42, car
2022-10-06 08:06:06.49, 31, 2->1, 4.26, car
2022-10-06 08:06:07.82, 31, 2->0, 6.04, car
2022-10-06 08:06:08.39, 31, 2->1, 3.47, car
2022-10-06 08:06:10.82, 31, 2->1, 4.04, car
2022-10-06 08:06:14.99, 31, 2->0, 3.76, bus_m
2022-10-06 08:06:17.09, 31, 2->0, 3.83, car
2022-10-06 08:07:09.45, 31, 1->0, 1.42, car
2022-10-06 08:07:17.98, 31, 2->0, 2.84, car
2022-10-06 08:07:25.42, 31, 2->0, 1.53, car
2022-10-06 08:07:32.18, 31, 2->0, 1.91, car
2022-10-06 08:07:35.38, 31, 2->0, 2.09, car
2022-10-06 08:07:39.38, 31, 2->0, 3.07, car
2022-10-06 08:07:49.85, 31, 2->0, 0.96, car
2022-10-06 08:07:54.05, 31, 2->0, 1.52, truck_s
2022-10-06 08:08:47.18, 31, 2->1, 3.69, car
2022-10-06 08:09:02.21, 31, 2->0, 1.69, car
2022-10-06 08:09:04.71, 31, 2->0, 2.41, truck_s
2022-10-06 08:09:07.41, 31, 2->0, 3.9, truck_s
2022-10-06 08:09:10.28, 31, 2->0, 3.6, car
2022-10-06 08:09:11.78, 31, 2->0, 4.65, car
2022-10-06 08:09:13.91, 31, 2->0, 4.3, car
2022-10-06 08:09:14.31, 31, 2->0, 3.11, car
2022-10-06 08:09:16.41, 31, 2->0, 3.82, car
2022-10-06 08:09:18.98, 31, 2->0, 3.74, car
