2022-10-05 07:37:59.65, 6, 2->0, 2.43, car
2022-10-05 07:37:59.79, 6, 2->0, 2.81, car
2022-10-05 07:38:01.32, 6, 2->0, 2.35, car
2022-10-05 07:38:02.31, 6, 0->2, 2.08, bus_m
2022-10-05 07:38:02.48, 6, 2->0, 1.99, car
2022-10-05 07:38:03.34, 6, 2->0, 2.95, car
2022-10-05 07:38:05.08, 6, 0->2, 2.31, bus_m
2022-10-05 07:38:06.24, 6, 2->0, 2.18, car
2022-10-05 07:38:06.61, 6, 0->2, 1.9, car
2022-10-05 07:38:06.98, 6, 2->0, 3.06, car
2022-10-05 07:38:08.01, 6, 0->1, 6.1, car
2022-10-05 07:38:11.11, 6, 0->2, 1.49, bus_m
2022-10-05 07:38:11.51, 6, 2->0, 3.44, car
2022-10-05 07:38:12.08, 6, 0->2, 2.05, car
2022-10-05 07:38:12.91, 6, 0->2, 1.68, car
2022-10-05 07:38:14.44, 6, 0->2, 2.04, car
2022-10-05 07:38:26.71, 6, 0->2, 2.37, car
2022-10-05 07:38:27.41, 6, 0->2, 2.28, car
2022-10-05 07:38:32.68, 6, 3->1, 2.28, car
2022-10-05 07:38:34.41, 6, 3->1, 2.24, car
2022-10-05 07:38:36.01, 6, 3->1, 2.06, truck_s
2022-10-05 07:38:39.01, 6, 3->1, 2.78, car
2022-10-05 07:38:41.54, 6, 3->1, 2.59, car
2022-10-05 07:38:41.61, 6, 3->1, 2.15, car
2022-10-05 07:38:42.91, 6, 3->0, 5.33, car
2022-10-05 07:38:43.68, 6, 3->1, 2.71, car
2022-10-05 07:38:46.48, 6, 3->1, 2.69, car
2022-10-05 07:38:53.84, 6, 1->3, 4.65, car
2022-10-05 07:38:54.88, 6, 3->1, 4.84, car
2022-10-05 07:39:00.51, 6, 3->0, 9.7, car
2022-10-05 07:39:10.17, 6, 1->0, 0.51, car
2022-10-05 07:39:10.21, 6, 1->0, 1.78, car
2022-10-05 07:39:12.54, 6, 1->0, 2.37, car
2022-10-05 07:39:13.77, 6, 1->0, 2.58, bus_m
2022-10-05 07:39:20.47, 6, 1->0, 2.09, car
2022-10-05 07:39:21.67, 6, 1->0, 1.95, car
2022-10-05 07:39:22.87, 6, 1->0, 3.1, truck_s
2022-10-05 07:39:22.94, 6, 1->0, 1.5, car
2022-10-05 07:39:25.47, 6, 1->0, 1.87, car
2022-10-05 07:39:28.91, 6, 1->0, 2.46, bus_m
2022-10-05 07:39:33.97, 6, 1->0, 1.69, bus_m
2022-10-05 07:39:40.57, 6, 2->1, 2.35, car
2022-10-05 07:39:41.94, 6, 2->1, 2.14, car
2022-10-05 07:39:43.21, 6, 2->0, 2.18, car
2022-10-05 07:39:43.57, 6, 2->0, 1.64, car
2022-10-05 07:39:45.17, 6, 2->0, 1.41, bus_m
2022-10-05 07:39:46.47, 6, 2->0, 1.96, car
2022-10-05 07:39:47.21, 6, 2->0, 2.13, car
2022-10-05 07:39:47.47, 6, 2->1, 2.62, car
2022-10-05 07:39:48.84, 6, 2->0, 2.35, car
2022-10-05 07:39:49.01, 6, 2->0, 1.38, bus_m
2022-10-05 07:39:51.81, 6, 2->0, 2.15, car
2022-10-05 07:39:54.61, 6, 2->1, 1.42, car
2022-10-05 07:39:55.57, 6, 2->0, 2.57, car
2022-10-05 07:39:57.44, 6, 2->0, 2.25, car
2022-10-05 07:40:00.14, 6, 2->0, 2.99, car
2022-10-05 07:40:01.64, 6, 2->0, 2.1, car
2022-10-05 07:40:02.17, 6, 2->1, 2.41, car
2022-10-05 07:40:04.17, 6, 2->0, 2.12, car
2022-10-05 07:40:05.74, 6, 2->0, 2.13, car
2022-10-05 07:40:06.61, 6, 2->0, 2.16, truck_s
2022-10-05 07:40:07.81, 6, 2->1, 1.89, car
2022-10-05 07:40:08.04, 6, 2->0, 2.28, car
2022-10-05 07:40:08.81, 6, 2->1, 1.95, car
2022-10-05 07:40:10.67, 6, 2->1, 2.16, car
2022-10-05 07:40:10.81, 6, 2->0, 2.35, car
2022-10-05 07:40:13.61, 6, 2->0, 1.95, car
2022-10-05 07:40:14.34, 6, 2->1, 1.42, car
2022-10-05 07:40:14.61, 6, 2->0, 2.03, car
2022-10-05 07:40:17.97, 6, 2->0, 2.01, car
2022-10-05 07:40:19.11, 6, 2->0, 2.1, car
2022-10-05 07:40:20.27, 6, 2->0, 2.07, bus_m
2022-10-05 07:40:20.61, 6, 2->0, 2.24, car
2022-10-05 07:40:21.01, 6, 2->0, 2.29, car
2022-10-05 07:40:27.31, 6, 2->0, 2.62, car
2022-10-05 07:40:30.81, 6, 2->0, 2.6, car
2022-10-05 07:40:30.97, 6, 2->1, 1.95, car
2022-10-05 07:40:31.04, 6, 2->0, 1.9, car
2022-10-05 07:40:31.57, 6, 2->0, 1.97, bus_m
2022-10-05 07:40:35.04, 6, 2->0, 2.45, car
2022-10-05 07:40:36.77, 6, 2->0, 2.3, car
2022-10-05 07:40:37.41, 6, 2->0, 2.26, bus_m
2022-10-05 07:40:38.87, 6, 2->0, 2.31, car
2022-10-05 07:40:39.51, 6, 2->0, 2.44, car
2022-10-05 07:40:40.17, 6, 2->0, 2.28, car
2022-10-05 07:40:41.07, 6, 2->0, 2.46, car
2022-10-05 07:40:42.24, 6, 2->0, 2.83, car
2022-10-05 07:40:42.37, 6, 2->0, 2.35, car
2022-10-05 07:40:46.01, 6, 2->0, 2.42, car
2022-10-05 07:40:47.11, 6, 0->2, 1.63, bus_m
2022-10-05 07:40:47.94, 6, 2->0, 1.94, car
2022-10-05 07:40:50.14, 6, 0->2, 0.84, bus_m
2022-10-05 07:40:51.01, 6, 0->1, 2.78, bus_m
2022-10-05 07:40:51.81, 6, 2->0, 2.2, car
2022-10-05 07:40:52.01, 6, 0->2, 2.03, car
