2022-10-06 14:46:10.36, 17, 1->0, 7.32, bus_m
2022-10-06 14:46:17.49, 17, 1->0, 15.58, bus_m
2022-10-06 14:46:21.36, 17, 1->0, 29.03, bus_m
2022-10-06 14:46:25.43, 17, 1->0, 30.36, bus_m
2022-10-06 14:47:41.69, 17, 1->0, 10.71, car
2022-10-06 14:47:47.35, 17, 1->0, 9.65, car
2022-10-06 14:49:22.09, 17, 1->0, 24.19, car
2022-10-06 14:49:51.91, 17, 1->0, 19.72, truck_s
2022-10-06 14:50:31.18, 17, 1->0, 25.68, bus_m
2022-10-06 14:50:36.98, 17, 1->0, 20.74, bus_m
2022-10-06 14:54:03.10, 17, 1->0, 20.54, car
2022-10-06 14:54:06.70, 17, 1->0, 14.1, car
2022-10-06 14:58:05.32, 17, 1->0, 31.63, car
2022-10-06 14:58:29.79, 17, 1->0, 7.79, car
2022-10-06 15:02:23.53, 17, 1->0, 11.9, car
2022-10-06 15:02:31.60, 17, 1->0, 15.51, car
2022-10-06 15:02:35.27, 17, 1->0, 25.0, car
2022-10-06 15:02:38.20, 17, 1->0, 23.9, car
2022-10-06 15:04:38.53, 17, 1->0, 31.39, car
2022-10-06 15:04:44.06, 17, 1->0, 23.77, car
2022-10-06 15:05:05.33, 17, 1->0, 1.75, car
2022-10-06 15:06:41.29, 17, 1->0, 26.58, car
2022-10-06 15:06:45.09, 17, 1->0, 23.47, car
2022-10-06 15:07:09.55, 17, 1->0, 20.71, car
2022-10-06 15:08:56.88, 17, 1->0, 24.57, car
2022-10-06 15:11:24.90, 17, 1->0, 1.27, car
2022-10-06 15:11:37.90, 17, 1->0, 20.62, bus_s
2022-10-06 15:11:42.30, 17, 1->0, 26.02, car
2022-10-06 15:13:14.16, 17, 1->0, 22.76, car
2022-10-06 15:13:18.36, 17, 1->0, 34.69, car
2022-10-06 15:13:33.69, 17, 1->0, 25.63, car
2022-10-06 15:14:21.09, 17, 1->0, 10.03, car
2022-10-06 15:15:26.69, 17, 1->0, 22.59, car
2022-10-06 15:16:38.69, 17, 1->0, 22.3, car
2022-10-06 15:17:36.25, 17, 1->0, 9.67, car
2022-10-06 15:17:39.18, 17, 1->0, 18.81, car
2022-10-06 15:17:51.78, 17, 1->0, 14.01, car
2022-10-06 15:19:39.97, 17, 1->0, 23.52, car
2022-10-06 15:22:18.79, 17, 1->0, 29.13, car
2022-10-06 15:22:52.33, 17, 1->0, 16.44, car
2022-10-06 15:23:05.99, 17, 1->0, 26.27, car
2022-10-06 15:24:34.65, 17, 1->0, 21.44, car
2022-10-06 15:24:37.45, 17, 1->0, 18.81, car
2022-10-06 15:26:16.65, 17, 1->0, 26.36, car
2022-10-06 15:26:26.38, 17, 1->0, 21.22, car
2022-10-06 15:27:29.45, 17, 1->0, 15.66, car
2022-10-06 15:28:33.61, 17, 1->0, 53.33, car
2022-10-06 15:28:49.94, 17, 1->0, 18.65, truck_s
2022-10-06 15:30:30.87, 17, 1->0, 25.81, car
2022-10-06 15:30:33.67, 17, 1->0, 23.94, car
2022-10-06 15:30:37.40, 17, 1->0, 24.61, car
2022-10-06 15:30:44.67, 17, 1->0, 12.47, car
2022-10-06 15:30:52.67, 17, 1->0, 15.28, car
2022-10-06 15:32:46.33, 17, 1->0, 35.19, car
2022-10-06 15:32:54.06, 17, 1->0, 30.84, car
2022-10-06 15:35:02.41, 17, 1->0, 25.37, car
2022-10-06 15:35:11.88, 17, 1->0, 25.89, car
2022-10-06 15:37:14.61, 17, 1->0, 36.5, car
2022-10-06 15:37:19.54, 17, 1->0, 22.55, car
2022-10-06 15:37:30.14, 17, 1->0, 24.06, car
2022-10-06 15:39:17.77, 17, 1->0, 24.84, car
2022-10-06 15:41:38.23, 17, 1->0, 20.98, car
2022-10-06 15:41:49.49, 17, 1->0, 30.5, car
2022-10-06 15:45:54.17, 17, 1->0, 16.24, car
2022-10-06 15:46:35.51, 17, 1->0, 24.21, car
2022-10-06 15:46:45.84, 17, 1->0, 24.16, car
2022-10-06 15:46:50.04, 17, 1->0, 23.09, car
2022-10-06 15:47:49.23, 17, 1->0, 30.61, car
2022-10-06 15:48:17.77, 17, 1->0, 16.57, car
2022-10-06 15:50:06.66, 17, 1->0, 25.28, car
2022-10-06 15:52:34.05, 17, 1->0, 18.31, car
2022-10-06 15:53:10.45, 17, 1->0, 8.37, car
2022-10-06 15:54:54.01, 17, 1->0, 20.97, car
2022-10-06 15:54:56.47, 17, 1->0, 22.39, car
2022-10-06 15:56:43.60, 17, 1->0, 23.94, car
2022-10-06 15:56:57.80, 17, 1->0, 26.12, car
2022-10-06 15:59:14.79, 17, 1->0, 21.73, car
2022-10-06 15:59:23.26, 17, 1->0, 19.96, car
2022-10-06 15:59:26.79, 17, 1->0, 15.35, car
2022-10-06 15:59:32.19, 17, 1->0, 17.74, car
2022-10-06 17:30:11.82, 17, 1->0, 19.78, car
2022-10-06 17:30:46.95, 17, 1->0, 4.33, car
2022-10-06 17:30:54.35, 17, 1->0, 10.77, car
2022-10-06 17:30:58.35, 17, 1->0, 12.39, car
2022-10-06 17:33:07.31, 17, 1->0, 21.13, car
2022-10-06 17:34:14.38, 17, 1->0, 21.88, car
2022-10-06 17:34:22.11, 17, 1->0, 22.54, car
2022-10-06 17:34:30.78, 17, 1->0, 22.64, car
2022-10-06 17:34:33.44, 17, 1->0, 29.35, car
2022-10-06 17:35:15.04, 17, 1->0, 29.67, car
2022-10-06 17:36:09.37, 17, 1->0, 35.88, car
2022-10-06 17:36:17.64, 17, 1->0, 26.15, car
2022-10-06 17:36:39.73, 17, 1->0, 27.06, car
2022-10-06 17:36:43.66, 17, 1->0, 16.31, bus_m
2022-10-06 17:36:47.53, 17, 1->0, 14.43, car
